,T,conversion,revenue,pre_exp_revenue,num_actions,trigger_dates,currency,country_of_origin,segment_1,segment_2,segment_3
0,1,0,0.0,1259.3360923886858,0,2022-01-12 02:56:00,EUR,US,New,Active,10- transfers
1,0,0,0.0,184.14585583266245,0,2022-01-05 23:12:00,USD,UK,Old,Rare,10- transfers
2,0,0,0.0,461.24240987718724,0,2022-01-07 00:45:00,EUR,USD,Old,Usual,10+ transfers
3,1,0,0.0,215.44597596620912,0,2022-01-02 01:10:00,USD,USD,New,Active,10- transfers
4,1,0,0.0,214.730543566426,0,2022-01-15 21:09:00,EUR,UK,New,Rare,10- transfers
5,0,0,0.0,1097.4966524789868,0,2022-01-05 14:20:00,GBP,USD,New,Rare,10+ transfers
6,0,0,0.0,2594.768698031675,0,2022-01-04 22:03:00,USD,US,New,Rare,10+ transfers
7,1,1,323.89214205909093,290.35607895424823,10,2022-01-02 08:09:00,EUR,UK,Old,Rare,10- transfers
8,0,0,0.0,662.3012700946271,0,2022-01-05 09:08:00,GBP,USD,New,Rare,10+ transfers
9,1,0,0.0,222.01622556678893,0,2022-01-08 12:45:00,EUR,USD,Old,Rare,10+ transfers
10,0,1,887.4271342468486,1212.1162743543878,13,2022-01-07 21:18:00,USD,US,New,Usual,10+ transfers
11,2,0,0.0,91.3607599104988,0,2022-01-21 21:34:00,USD,US,Old,Active,10- transfers
12,1,1,100.80389339543785,697.8876330181042,10,2022-01-11 23:35:00,USD,US,Old,Usual,10+ transfers
13,2,0,0.0,192.66752230961532,0,2022-01-11 05:48:00,USD,US,New,Rare,10- transfers
14,0,1,709.1336219215586,288.3524164895618,7,2022-01-12 04:19:00,EUR,UK,New,Active,10- transfers
15,2,1,454.3591653453222,335.62704229506147,7,2022-01-09 16:56:00,GBP,UK,New,Usual,10- transfers
16,1,0,0.0,684.1630210788687,0,2022-01-13 10:09:00,EUR,US,Old,Active,10+ transfers
17,2,0,0.0,425.01986086707393,0,2022-01-11 12:24:00,USD,US,Old,Rare,10+ transfers
18,0,1,248.91034282233196,2905.739119254055,9,2022-01-21 19:15:00,USD,UK,New,Usual,10+ transfers
19,0,0,0.0,223.3736134985344,0,2022-01-17 05:51:00,EUR,US,Old,Rare,10- transfers
20,2,1,1129.3305886461967,136.71897648069347,12,2022-01-03 21:24:00,USD,UK,Old,Rare,10- transfers
21,0,0,0.0,270.04724938450164,0,2022-01-17 14:11:00,GBP,US,New,Usual,10- transfers
22,1,0,0.0,403.87621352394086,0,2022-01-21 08:51:00,GBP,UK,Old,Rare,10- transfers
23,2,0,0.0,471.3187981113662,0,2022-01-10 09:22:00,USD,USD,New,Rare,10+ transfers
24,2,0,0.0,400.67770128553803,0,2022-01-16 19:45:00,EUR,USD,New,Usual,10+ transfers
25,0,1,637.5714127267861,1340.4094580974252,5,2022-01-15 06:04:00,USD,US,Old,Rare,10+ transfers
26,1,1,355.08743154920677,215.050223538149,10,2022-01-17 11:04:00,GBP,UK,New,Rare,10+ transfers
27,1,1,499.1762159213442,3714.0378856627804,8,2022-01-07 14:00:00,GBP,US,Old,Active,10- transfers
28,2,0,0.0,433.15121604613427,0,2022-01-03 02:46:00,USD,USD,New,Active,10+ transfers
29,0,1,384.27371740615246,241.0545042431017,7,2022-01-06 19:00:00,USD,UK,Old,Active,10- transfers
30,2,0,0.0,1070.093051190419,0,2022-01-11 00:15:00,USD,USD,New,Active,10- transfers
31,1,0,0.0,147.91194172467473,0,2022-01-15 17:01:00,USD,UK,New,Usual,10- transfers
